Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,pcc_meter.meter.52a,,,>h,TRUE,1000,0,
,pcc_meter.meter.W,100W,,>h,TRUE,1001,0,
,pcc_meter.meter.VAR,100VAr,,>h,TRUE,1002,0,
,pcc_meter.meter.VA,100VA,,>h,TRUE,1003,0,
,pcc_meter.meter.PPV,ckV,,>h,TRUE,1004,0,
,pcc_meter.meter.A,dA,,>h,TRUE,1005,0,
,pcc_meter.meter.Hz,cHz,,>h,TRUE,1006,0,
,pcc_meter.meter.TotWhExp,100Wh,,>L,TRUE,1007,0,
,pcc_meter.meter.TotWhImp,100Wh,,>L,TRUE,1009,0,
,pcc_meter.meter.TotVAhExp,100VArh,,>L,TRUE,1011,0,
,pcc_meter.meter.TotVAhImp,100VArh,,>L,TRUE,1013,0,
,pcc_meter.meter.W_PhA,100W,,>h,TRUE,1015,0,
,pcc_meter.meter.W_PhB,100W,,>h,TRUE,1016,0,
,pcc_meter.meter.W_PhC,100W,,>h,TRUE,1017,0,
,pcc_meter.meter.VAR_PhA,100VAr,,>h,TRUE,1018,0,
,pcc_meter.meter.VAR_PhB,100VAr,,>h,TRUE,1019,0,
,pcc_meter.meter.VAR_PhC,100VAr,,>h,TRUE,1020,0,
,pcc_meter.meter.VA_PhA,100VA,,>h,TRUE,1021,0,
,pcc_meter.meter.VA_PhB,100VA,,>h,TRUE,1022,0,
,pcc_meter.meter.VA_PhC,100VA,,>h,TRUE,1023,0,
,pcc_meter.meter.PPV_PhAB,ckV,,>h,TRUE,1024,0,
,pcc_meter.meter.PPV_PhBC,ckV,,>h,TRUE,1025,0,
,pcc_meter.meter.PPV_PhCA,ckV,,>h,TRUE,1026,0,
,pcc_meter.meter.A_PhA,dA,,>h,TRUE,1027,0,
,pcc_meter.meter.A_PhB,dA,,>h,TRUE,1028,0,
,pcc_meter.meter.A_PhC,dA,,>h,TRUE,1029,0,
,pcc_meter.meter.PF,1000pu,,>h,TRUE,1030,0,
,inv1.solectria_meter.L1-to-L2_AC_Voltage,SolectriaV,,>h,TRUE,1031,0,
,inv1.solectria_meter.L2-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,1032,0,
,inv1.solectria_meter.L1-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,1033,0,
,inv1.solectria_meter.AC_Grid_Frequency,SolectriaHz,,>h,TRUE,1034,0,
,inv1.solectria_meter.DC_Voltage,SolectriaV,,>h,TRUE,1035,0,
,inv1.solectria_meter.DC_Current,dA,,>h,TRUE,1036,0,
,inv1.solectria_meter.Real_AC_Power_Output,SolectriaW,,>H,TRUE,1037,0,
,inv1.solectria_meter.Reactive_AC_Power_Output,SolectriaVAr,,>h,TRUE,1038,0,
,inv2.solectria_meter.L1-to-L2_AC_Voltage,SolectriaV,,>h,TRUE,1039,0,
,inv2.solectria_meter.L2-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,1040,0,
,inv2.solectria_meter.L1-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,1041,0,
,inv2.solectria_meter.AC_Grid_Frequency,SolectriaHz,,>h,TRUE,1042,0,
,inv2.solectria_meter.DC_Voltage,SolectriaV,,>h,TRUE,1043,0,
,inv2.solectria_meter.DC_Current,dA,,>h,TRUE,1044,0,
,inv2.solectria_meter.Real_AC_Power_Output,SolectriaW,,>H,TRUE,1045,0,
,inv2.solectria_meter.Reactive_AC_Power_Output,SolectriaVAr,,>h,TRUE,1046,0,
,weatherStation.irradiance.POAI,W/m2,,>H,TRUE,1047,0,
,weatherStation.irradiance.GHI,W/m2,,>H,TRUE,1048,0,
,weatherStation.base_met.WndSpd,mps,,>h,TRUE,1049,0,
,weatherStation.base_met.WndDir,deg,,>h,TRUE,1050,0,
,weatherStation.base_met.TmpAmb,C,,>h,TRUE,1051,0,
,weatherStation.temp.TmpBOM1,C,,>h,TRUE,1052,0,
,weatherStation.temp.TmpBOM2,C,,>h,TRUE,1053,0,
